gornje baredine - baredine di sopra|7a|baredine - baredine
kalusovo|18a|ripenda kras
ripenda kras|23b|ripenda kras
vintijan|75c|vintijan
paredine|41|premantura
mali kosi|35|ripenda kosi
kapelica|48c|kapelica
kalusovo|16e|ripenda kras
marceljani|52f|marceljani
marceljani|52e|marceljani
mali kosi|33|ripenda kosi
kapelica|41a|kapelica
marceljani|59d|marceljani
mali kosi|5c|ripenda kosi
ulica strada longa - via strada longa|21a|buje - buie
ulica kaštanjer - via castagner|89|pula
dračice|35b|banjole
ulica fojbon - via foibon|30a|pula
ripenda kras|15c|ripenda kras
malotija - malotia|42a|kaštel - castelvenere
jurcanija - iurzania|3c|gamboci - gambozzi
vinjarija - vignaria|43b|plovanija - plovanìa
gamboci - gambozzi|27a|gamboci - gambozzi
facchinettijeva ul. - via antonio facchinetti|15d|pula
ulica komunal - via comunal|154|pula
bunarska cesta - strada dei pozzi|86|pula
ulica komunal - via comunal|97|pula
breg ivanovci|58|rogočana
put od fortica - strada dei forti|357|pula
kastavska ulica - via castua|18b|pula
vodnjanska cesta - via dignano|60|pula
mikoti|32b|ripenda kras
mikoti|32c|ripenda kras
salakovci|56|salakovci
breg ivanovci|50|rogočana
paganorska ulica - via paganor|52|pula
ladavci|50c|beram
kapelica|50a|kapelica
breg ivanovci|30b|rogočana
selo-varoš|208|premantura
grdoselo|1b|grdoselo
markolini|67|marceljani
indije|61|banjole
kapelica|107e|kapelica
bohki|47a|marceljani
breg ivanovci|27b|rogočana
katun trviški|68c|trviž
vintijan|146|vintijan
runke|25d|premantura
breg ivanovci|24g|rogočana
indije|85|banjole
industrijska ulica - via dell'industria|2b|pula
lukovica|27a|žminj
selo-varoš|207|premantura
brajkovići|1g|brajkovići
mali kosi|32|ripenda kosi
kranjci|28b|kranjci
ulica jasne crnobori - via jasna crnobori|101|pula
kaldanija - caldania|15a|kaldanija - caldanìa
ravni|12a|ravni
cota|27|vinkuran
grdoselo|1c|grdoselo
mali kosi|38|ripenda kosi
ulica komunal - via comunal|92|pula
breg ivanovci|36|rogočana
cinzebi|44a|zajci
ulica braće čeh - via fratelli čeh|48a|pula
modrušanov prilaz - via tone modrušan|4|pula
salakovci|9b|salakovci
ulica rudine - via rudine|12|buje - buie
pješčana uvala|9|ogranak 26 pješčana uvala
ravni|150|ravni
sveti bartul|8a|sveti bartul
kapelica|100b|kapelica
breg ivanovci|27f|rogočana
bunarska cesta - strada dei pozzi|110|pula
ulica valmade - via valmade|8e|pula
selo-varoš|216|premantura
ripenda verbanci|5e|ripenda verbanci
valtursko polje|195a|valtura
poduzetnička zona pićan - jug|108|zajci
drenje|36d|drenje
knapići|46b|ripenda verbanci
sveti bartul|13a|sveti bartul
partizanski put - strada dei partigiani|132|pula
rogočana|3b|rogočana
ravni|146|ravni
busolerska ulica - via busoler|68|pula
ulica trsine - via trsine|4|pula
istarska ulica - via dell'istria|14|buje - buie
breg ivanovci|48|rogočana
bunarska cesta - strada dei pozzi|55|pula
drenje|3g|drenje
portoroška ulica - via portorose|27a|plovanija - plovanìa
sveta marina|82|sveta marina
medulinska cesta - via medolino|28c|pula
turulska ulica - via turulla|7|pula
kaldanija - caldania|15c|kaldanija - caldanìa
kapelica|100f|kapelica
krajcar breg|3a|krajcar breg
malotija - malotia|44j|kaštel - castelvenere
štinjanska cesta - via stignano|96a|pula
drenje|38d|drenje
carlijeva ulica - via gianrinaldo carli|51|pula
maconji|6a|ripenda kras
krasica - crassiza|35a|krasica - crassiza
kapelica|50b|kapelica
ravni|125|ravni
busolerska ulica - via busoler|86a|pula
pomer|307a|pomer
ulica komunal - via comunal|222|pula
ulica begovica - via begovizza|25a|pula
ulica bože gumpca - via božo gumbac|26|pula
ulica jurja žakna - via jurij diacono|4b|pula
industrijska ulica - via dell'industria|2c|pula
ulica lovežica - via lovezizza|51|pula
bunarska cesta - strada dei pozzi|53|pula
juki - iuchi|169b|kaštel - castelvenere
valtura|32a|valtura
medulinska cesta - via medolino|29a|pula
ulica stoja - via stoia|26d|pula
ušići dvori|201|valtura
breg ivanovci|37|rogočana
busolerska ulica - via busoler|56|pula
hrboki|63|hrboki
ulica komunal - via comunal|94|pula
gondolići|25b|gondolići
cere|8b|cere
ripenda verbanci|65|ripenda verbanci
ulica rudine - via rudine|2|buje - buie
put od fortica - strada dei forti|289|pula
marceljani|57c|marceljani
ravni|6b|ravni
snašići|2c|snašići
ulica vladimira nazora - via vladimir nazor|15a|buje - buie
ulica rudine - via rudine|6|buje - buie
pješčana uvala|4|ogranak 5 pješčana uvala
melnica|24|melnica
tomažići|8a|marceljani
ulica komunal - via comunal|147|pula
cinzebi|43a|zajci
breg ivanovci|47|rogočana
selo-varoš|181|premantura
vintijan|102|vintijan
vintijan|132|vintijan
ulica bože gumpca - via božo gumbac|10|pula
prilaz runci - via ronzi|4|pula
puntera|16b|puntera
ulica komunal - via comunal|98|pula
put od fortica - strada dei forti|53a|pula
montrin - montrin|17a|kaštel - castelvenere
ravni|5h|ravni
snašići|1d|snašići
ulica stoja - via stoia|16a|pula
kamik|32|banjole
šišanska cesta - via sissano|82a|pula
tomasinijeva ulica - via giacomo filippo tomasini|32a|pula
gornje baredine - baredine di sopra|31a|baredine - baredine
glavica|11a|banjole
draguzeti|32|draguzeti
crni|31|crni
kaštanjež|90|banjole
crni|4a|crni
fažanska cesta - via fasana|56b|pula
put od fortica - strada dei forti|297|pula
lovrinići|20a|bazgalji
plominska ulica - via fianona|37|pula
bečići|79|sveti bartul
kučine|90|vinkuran
debeljuhi|1c|debeljuhi
selo-varoš|151|premantura
ulica komunal - via comunal|29|pula
šišanska cesta - via sissano|7c|pula
valtura|41c|valtura
vinež|51k|vinež
ulica vladimira nazora - via vladimir nazor|7|buje - buie
bečići|51b|sveti bartul
selo-varoš|210|premantura
gornje baredine - baredine di sopra|12e|baredine - baredine
salakovci|7b|bartići
ripenda verbanci|5d|ripenda verbanci
selo-varoš|162|premantura
ulica komunal - via comunal|139|pula
kalusovo|16d|ripenda kras
valtura|43b|valtura
breg ivanovci|33|rogočana
istarska ulica - via dell'istria|13|plovanija - plovanìa
sveta marina|21a|sveta marina
bataji|13a|brkač
manjadvorci|41a|manjadvorci
fažanska cesta - via fasana|48|pula
vinež|51i|vinež
belasova ulica - via ivo belas|3|pula
schiavuzzijev prilaz - via bernardo schiavuzzi|28|pula
poduzetnička zona pićan - jug|100|zajci
brig|20|premantura
želiski|1h|želiski
valtura|20a|valtura
sveti bartul|43a|sveti bartul
brig|35|premantura
breg ivanovci|24f|rogočana
kalusovo|13a|ripenda kras
katun trviški|95|trviž
kapelica|142|kapelica
vintijan|96|vintijan
fažanska cesta - via fasana|35a|pula
industrijska ulica - via dell'industria|2d|pula
runke|25e|premantura
breg ivanovci|42|rogočana
rogočana|3c|rogočana
rebići|7c|rebići
ulica bože gumpca - via božo gumbac|28|pula
ulica mirna - via quieto|27|pula
ravni|28a|ravni
schiavuzzijev prilaz - via bernardo schiavuzzi|49|pula
ulica begovica - via begovizza|27|pula
valtura|198|valtura
stanična ulica - via stazione|5|buje - buie
šišanska cesta - via sissano|129|pula
2. istarske brigade|23|buzet
ulica bože gumpca - via božo gumbac|25|pula
pješčana uvala|9|ogranak 18 pješčana uvala
gajmani|31a|cere
ravni|102|ravni
kapelica|101f|kapelica
ulica mirna - via quieto|25|pula
pješčana uvala|2|ogranak 5a pješčana uvala
kaldanija - caldania|15i|kaldanija - caldanìa
sandari|38a|debeljuhi
ulica begovica - via begovizza|7|pula
buići|84a|brajkovići
put od fortica - strada dei forti|265|pula
ulica kozada - via cosada|12a|pula
prilaz runci - via ronzi|8|pula
ulica giosuea carduccia - via giosuè carducci|1b|buje - buie
šenoina ulica - via august šenoa|31|pula
fažanska cesta - via fasana|18|pula
kapelica|123a|kapelica
fažanska cesta - via fasana|24f|pula
švići|38a|jakomići
ulica komunal - via comunal|242|pula
indije|4a|banjole
brunjakova ulica - via josip brunjak|20a|pula
ravni|26a|ravni
kapelica|100g|kapelica
ulica rudine - via rudine|3|buje - buie
ulica jasne crnobori - via jasna crnobori|101d|pula
ravni|21b|ravni
fažanska cesta - via fasana|17a|pula
junac|24c|bartići
manjadvorci|39a|manjadvorci
ravni|151|ravni
šenoina ulica - via august šenoa|29|pula
runjačica|50|premantura
salakovci|9c|salakovci
ravni|4c|ravni
veli kosi|27|ripenda kosi
istarska ulica - via dell'istria|32a|buje - buie
bečići|99|sveti bartul
vintijan|119|vintijan
ravni|131|ravni
plominska ulica - via fianona|49|pula
kaldanija - caldania|21k|kaldanija - caldanìa
ulica bože gumpca - via božo gumbac|22|pula
ulica lovežica - via lovezizza|3|pula
dvorine|144|banjole
vinež|51j|vinež
prkušnica|34a|sveta marina
runjačica|50b|premantura
valtura|222|valtura
hreljići|50|hreljići
ulica bože gumpca - via božo gumbac|24|pula
premanturska|298|vinkuran
damjanići|16a|domijanići
ravni|3e|ravni
kapelica|36b|kapelica
katun trviški|68d|trviž
selo-varoš|188|premantura
damjanići|1a|domijanići
ulica komunal - via comunal|241|pula
ulica baližerka - via barisella|140|pula
valtursko polje|210a|valtura
fažanska cesta - via fasana|22|pula
ulica vallelunga - via vallelunga|28|pula
istarska ulica - via dell'istria|26|buje - buie
ravni|144|ravni
jurcanija - iurzania|3d|gamboci - gambozzi
vintijan|136|vintijan
vinež|401a|vinež
ulica braće čeh - via fratelli čeh|48b|pula
japodska ulica - via dei giapidi|1b|pula
kalčeva ulica - via jurica kalc|19a|pula
ulica vidikovac - via vidikovac|14b|pula
ulica pradorlando - via prá d'orlando|20|pula
bečići|52/1|sveti bartul
bečići|48a|sveti bartul
ulica fojbon - via foibon|46|pula
ravni|21c|ravni
selo-varoš|213|premantura
busolerska ulica - via busoler|58|pula
šijanska cesta - via siana|55|pula
ušići dvori|210|valtura
put od fortica - strada dei forti|135|pula
valtura|115b|valtura
valvazorova ulica - via johann veickhard valvasor|4|pula
šišanska cesta - via sissano|141|pula
benčićeva ulica - via dragomir benčić|66c|pula
selo-varoš|217|premantura
bečići|86|sveti bartul
paganorska ulica - via paganor|92|pula
sveti bartul|43b|sveti bartul
ulica rudine - via rudine|8|buje - buie
ulica valsaline - via valsaline|35|pula
kaštelska ulica - via castelvenere|7c|plovanija - plovanìa
bohki|46b|marceljani
valtursko polje|191b|valtura
ulica lovežica - via lovezizza|23b|pula
salakovci|8a|bartići
selo-varoš|186|premantura
munte|54b|premantura
dvorine|108|banjole
ulica rudine - via rudine|14|buje - buie
runke|44a|premantura
malotija - malotia|41c|kaštel - castelvenere
kapelica|147|kapelica
fažanska cesta - via fasana|51c|pula
valtursko polje|197a|valtura
bibali - bibali|64d|bibali - bibali
kapelica|120b|kapelica
vinež|405|vinež
bečići|49a|sveti bartul
ivanošići|20|želiski
busolerska ulica - via busoler|98|pula
ravni|137|ravni
sveta marina|20b|sveta marina
debeljuhi|1a|debeljuhi
ulica begovica - via begovizza|46|pula
šenoina ulica - via august šenoa|38|pula
gervaisova ulica - via drago gervais|61|pula
paganorska ulica - via paganor|94|pula
mali kosi|36|ripenda kosi
bastijani|1b|sveta marina
ulica valsaline - via valsaline|39|pula
schiavuzzijev prilaz - via bernardo schiavuzzi|30|pula
paganorska ulica - via paganor|29|pula
ulica jasne crnobori - via jasna crnobori|101a|pula
kamik|26|banjole
glavica|13b|banjole
debeljuhi|1d|debeljuhi
istarska ulica - via dell'istria|6|plovanija - plovanìa
veli golji|49|veli golji
ulica koleži - via koleži|6|pula
zartinj|61|topid
put od fortica - strada dei forti|168|pula
valtura|210|valtura
ulica komunal - via comunal|101|pula
poduzetnička zona pićan - jug|103|zajci
vintijan|31|vintijan
duga luka|7b|duga luka
gospodarska - via dell' imprenditoria|14|buje - buie
ulica jasne crnobori - via jasna crnobori|101c|pula
uspon sv. franje asiškog - clivo san francesco d'assisi|12|pula
poduzetnička zona pićan - jug|107|zajci
2. istarske brigade|23/1|buzet
ulica stoja - via stoia|26a|pula
rizzijeva ulica - via lodovico rizzi|101|pula
ulica komunal - via comunal|113|pula
žgombini|11a|cere
kapelica|100h|kapelica
fažanska cesta - via fasana|17b|pula
kaldanija - caldania|15f|kaldanija - caldanìa
svetinčići|37a|zajci
premanturska|232|valbonaša
drenje|17b|drenje
kapelica|31a|kapelica
salakovci|7a|bartići
cota|32|vinkuran
2. istarske brigade|19|buzet
bunarska cesta - strada dei pozzi|108|pula
put od fortica - strada dei forti|232|pula
ulica vidikovac - via vidikovac|14a|pula
jadreški|39a|jadreški
biletići|45|hreljići
runjačica|50a|premantura
ulica komunal - via comunal|15a|pula
vodovodna ulica - via dell' acquedotto|22|buje - buie
ulica valmade - via valmade|8d|pula
salakovci|9a|salakovci
kučine|86|vinkuran
kalusovo|16b|ripenda kras
ulica lovežica - via lovezizza|53|pula
prkušnica|58|sveta marina
ulica bože gumpca - via božo gumbac|12a|pula
valtura|168a|valtura
mali kosi|8a|ripenda kosi
selo-varoš|158|premantura
biletići|70|hreljići
debeli vrv|22|vinkuran
istarska ulica - via dell'istria|18|buje - buie
brig|18|premantura
kapelica|100c|kapelica
ulica komunal - via comunal|27c|pula
ravni|159|ravni
kapelica|163|kapelica
munte|180|premantura
runjačica|50d|premantura
prilaz runci - via ronzi|10|pula
schiavuzzijev prilaz - via bernardo schiavuzzi|32|pula
munte|34a|premantura
industrijska ulica - via dell'industria|21a|pula
glavinićev uspon - clivo franjo glavinić|4a|pula
istarska ulica - via dell'istria|4|buje - buie
brunjakova ulica - via josip brunjak|26|pula
momjanska ulica - via momiano|9|buje - buie
stancija loj - stanzia loi|1a|baredine - baredine
ulica rudine - via rudine|4|buje - buie
kapelica|110c|kapelica
markoči|17c|markoci
most|4d|zajci
drenje|29b|drenje
mali kosi|31|ripenda kosi
ulica kašćuni - via castion|27|pula
tommaseova ulica - via nicolò tommaseo|11|pula
prkušnica|33a|sveta marina
ulica mirna - via quieto|29|pula
vintijan|110|vintijan
damjanići|1b|domijanići
ripenda kras|12a|ripenda kras
put od fortica|92a|jadreški
ulica begovica - via begovizza|20|pula
ulica mirna - via quieto|23|pula
sveta marina|85|sveta marina
umaška ulica - via umago|1|buje - buie
ravni|104|ravni
ulica komunal - via comunal|31|pula
vinež|401b|vinež
ulica škokovica - via skokovica|7|pula
valtura|178|valtura
valtura|176|valtura
selo-varoš|215|premantura
dvorine|114|banjole
vintijan|4b|vintijan
put od fortica - strada dei forti|167a|pula
šišanska cesta - via sissano|82|pula
breg ivanovci|24d|rogočana
ulica komunal - via comunal|138a|pula
drenje|6a|drenje
dvorine|84|banjole
istarska ulica - via dell'istria|24|buje - buie
humska ulica - via colmo|3a|pula
damjanići|16b|domijanići
barban|139|barban
ulica rudine - via rudine|10|buje - buie
schiavuzzijev prilaz - via bernardo schiavuzzi|55|pula
lošinjska ulica - via lussino|19a|pula
katarovo|39b|drenje
rojnići|11b|rojnići
varetonova stancija - stanzia vareton|25|pula
most|4e|zajci
milanovićeva ulica - via božo milanović|1|pula
ulica jurja žakna - via jurij diacono|4a|pula
busolerska ulica - via busoler|70|pula
valtura|25d|valtura
fažanska cesta - via fasana|27d|pula
ravni|5d|ravni
kaštanjež|89|banjole
put od fortica - strada dei forti|148|pula
put od fortica - strada dei forti|307|pula
malotija - malotia|42c|kaštel - castelvenere
smoljani|63a|kašćerga
bečići|51d|sveti bartul
šišanska cesta - via sissano|135|pula
bečići|74|sveti bartul
junac|24e|bartići
industrijska ulica - via dell'industria|15c|pula
debeli vrv|58|vinkuran
dvorine|88|banjole
vintijan|101|vintijan
salakovci|5a|salakovci
ulica valdemuška - via val de mosca|14|pula
simonetija - simonetia|51a|kaldanija - caldanìa
kaštelska ulica - via castelvenere|7a|plovanija - plovanìa
katuri|40c|labin
ravni|6d|ravni
dolica|1a|sutivanac
ulica školskog brijega - colle delle scuole|3|buje - buie
ulica varoš - via varos|48|pula
drenje|39a|drenje
momjanska ulica - via momiano|30|buje - buie
ravni|4g|ravni
katun trviški|86g|trviž
ravni|4f|ravni
ulica borik - via del pineto|29|pula
breg ivanovci|51|rogočana
selo-varoš|201|premantura
ulica kaštanjer - via castagner|91|pula
pomer|123a|pomer
ulica brolo - via brolo|28b|buje - buie
2. istarske brigade|23/2|buzet
poduzetnička zona pićan - jug|105|zajci
kranjci|57|kranjci
busolerska ulica - via busoler|46|pula
ulica braće čeh - via fratelli čeh|48c|pula
vintijan|124|vintijan
gospodarska - via dell' imprenditoria|2|buje - buie
ulica lovežica - via lovezizza|1|pula
kaldanija - caldania|28d|kaldanija - caldanìa
pješčana uvala|9|ogranak 3 pješčana uvala
put od fortica|92c|jadreški
kmeti|31b|domijanići
zahtilina ulica - via josip zahtila|6a|pula
valtura|234|valtura
gajmani|31c|cere
juraj|6e|marceljani
ulica baližerka - via barisella|144|pula
pješčana uvala|4|ogranak 1 pješčana uvala
schiavuzzijev prilaz - via bernardo schiavuzzi|26|pula
labinska ulica - via albona|107|pula
put od fortica|90c|jadreški
mala traba|53e|vela traba
manjadvorci|73|manjadvorci
dračice|48|banjole
istarska ulica - via dell'istria|19a|plovanija - plovanìa
valtura|2a|valtura
drenje|35a|drenje
kapelica|107f|kapelica
ulica bože gumpca - via božo gumbac|40|pula
stanična ulica - via stazione|7|buje - buie
vinež|403|vinež
kapelica|122a|kapelica
drenje|4d|drenje
ravni|4b|ravni
kapelica|100e|kapelica
valtura|41b|valtura
prkušnica|59|sveta marina
bibali - bibali|89c|bibali - bibali
ulica komunal - via comunal|152|pula
pavlići|30|grandići
ulica komunal - via comunal|248|pula
ulica komunal - via comunal|249|pula
